2026-04-26T07:01:53Z,trader-r3-v1-vev-v1.5-moduleA-only.py,0,15.00,runs/backtest-1777186638129-round3-day-0,v1.5mA-drop5100-zopen2.0-pw8-az3.5-ms5,P3.6 drop5100 from BOTH active+fit; trades=8
2026-04-26T07:01:53Z,trader-r3-v1-vev-v1.5-moduleA-only.py,1,105.00,runs/backtest-1777186638129-round3-day-1,v1.5mA-drop5100-zopen2.0-pw8-az3.5-ms5,P3.6 drop5100 from BOTH active+fit; trades=9
2026-04-26T07:01:53Z,trader-r3-v1-vev-v1.5-moduleA-only.py,2,-527.00,runs/backtest-1777186638129-round3-day-2,v1.5mA-drop5100-zopen2.0-pw8-az3.5-ms5,P3.6 drop5100 from BOTH active+fit; trades=65
2026-04-26T07:01:53Z,trader-r3-v1-vev-v1.5-moduleA-only.py,0,-5.00,runs/backtest-1777186830609-round3-day-0,v1.5mA-noTrade5100-zopen2.0-pw8-az3.5-ms5,P3.6 noTrade5100 (drop active only; keep in fit); trades=11
2026-04-26T07:01:53Z,trader-r3-v1-vev-v1.5-moduleA-only.py,1,-79.50,runs/backtest-1777186830609-round3-day-1,v1.5mA-noTrade5100-zopen2.0-pw8-az3.5-ms5,P3.6 noTrade5100 (drop active only; keep in fit); trades=10
2026-04-26T07:01:53Z,trader-r3-v1-vev-v1.5-moduleA-only.py,2,1255.50,runs/backtest-1777186830609-round3-day-2,v1.5mA-noTrade5100-zopen2.0-pw8-az3.5-ms5,P3.6 noTrade5100 (drop active only; keep in fit); trades=73
2026-04-26T07:10:29Z,trader-r3-v1-vev-meanrev.py,0,-1377.00,runs/sweep,vmr-ema30-te0-sk0.5-tc20,sweep vev_meanrev; trades=16
2026-04-26T07:10:29Z,trader-r3-v1-vev-meanrev.py,1,1200.50,runs/sweep,vmr-ema30-te0-sk0.5-tc20,sweep vev_meanrev; trades=15
2026-04-26T07:10:29Z,trader-r3-v1-vev-meanrev.py,2,2278.00,runs/sweep,vmr-ema30-te0-sk0.5-tc20,sweep vev_meanrev; trades=70
2026-04-26T07:10:32Z,trader-r3-v1-vev-meanrev.py,0,-1444.00,runs/sweep,vmr-ema30-te0-sk0.5-tc30,sweep vev_meanrev; trades=14
2026-04-26T07:10:32Z,trader-r3-v1-vev-meanrev.py,1,926.00,runs/sweep,vmr-ema30-te0-sk0.5-tc30,sweep vev_meanrev; trades=40
2026-04-26T07:10:32Z,trader-r3-v1-vev-meanrev.py,2,1547.50,runs/sweep,vmr-ema30-te0-sk0.5-tc30,sweep vev_meanrev; trades=63
2026-04-26T07:10:35Z,trader-r3-v1-vev-meanrev.py,0,-1377.00,runs/sweep,vmr-ema30-te0-sk1.0-tc20,sweep vev_meanrev; trades=16
2026-04-26T07:10:35Z,trader-r3-v1-vev-meanrev.py,1,1200.50,runs/sweep,vmr-ema30-te0-sk1.0-tc20,sweep vev_meanrev; trades=15
2026-04-26T07:10:35Z,trader-r3-v1-vev-meanrev.py,2,1969.00,runs/sweep,vmr-ema30-te0-sk1.0-tc20,sweep vev_meanrev; trades=70
2026-04-26T07:10:39Z,trader-r3-v1-vev-meanrev.py,0,-1444.00,runs/sweep,vmr-ema30-te0-sk1.0-tc30,sweep vev_meanrev; trades=14
2026-04-26T07:10:39Z,trader-r3-v1-vev-meanrev.py,1,926.00,runs/sweep,vmr-ema30-te0-sk1.0-tc30,sweep vev_meanrev; trades=40
2026-04-26T07:10:39Z,trader-r3-v1-vev-meanrev.py,2,1555.50,runs/sweep,vmr-ema30-te0-sk1.0-tc30,sweep vev_meanrev; trades=63
2026-04-26T07:10:42Z,trader-r3-v1-vev-meanrev.py,0,-1377.00,runs/sweep,vmr-ema30-te0-sk1.5-tc20,sweep vev_meanrev; trades=16
2026-04-26T07:10:42Z,trader-r3-v1-vev-meanrev.py,1,1200.50,runs/sweep,vmr-ema30-te0-sk1.5-tc20,sweep vev_meanrev; trades=15
2026-04-26T07:10:42Z,trader-r3-v1-vev-meanrev.py,2,1969.00,runs/sweep,vmr-ema30-te0-sk1.5-tc20,sweep vev_meanrev; trades=70
2026-04-26T07:10:45Z,trader-r3-v1-vev-meanrev.py,0,-1444.00,runs/sweep,vmr-ema30-te0-sk1.5-tc30,sweep vev_meanrev; trades=14
2026-04-26T07:10:45Z,trader-r3-v1-vev-meanrev.py,1,921.00,runs/sweep,vmr-ema30-te0-sk1.5-tc30,sweep vev_meanrev; trades=40
2026-04-26T07:10:45Z,trader-r3-v1-vev-meanrev.py,2,1548.50,runs/sweep,vmr-ema30-te0-sk1.5-tc30,sweep vev_meanrev; trades=63
2026-04-26T07:10:48Z,trader-r3-v1-vev-meanrev.py,0,-1377.00,runs/sweep,vmr-ema30-te0-sk2.0-tc20,sweep vev_meanrev; trades=16
2026-04-26T07:10:48Z,trader-r3-v1-vev-meanrev.py,1,1200.50,runs/sweep,vmr-ema30-te0-sk2.0-tc20,sweep vev_meanrev; trades=15
2026-04-26T07:10:48Z,trader-r3-v1-vev-meanrev.py,2,-5563.50,runs/sweep,vmr-ema30-te0-sk2.0-tc20,sweep vev_meanrev; trades=121
2026-04-26T07:10:51Z,trader-r3-v1-vev-meanrev.py,0,-1444.00,runs/sweep,vmr-ema30-te0-sk2.0-tc30,sweep vev_meanrev; trades=14
2026-04-26T07:10:51Z,trader-r3-v1-vev-meanrev.py,1,921.00,runs/sweep,vmr-ema30-te0-sk2.0-tc30,sweep vev_meanrev; trades=40
2026-04-26T07:10:51Z,trader-r3-v1-vev-meanrev.py,2,-6038.50,runs/sweep,vmr-ema30-te0-sk2.0-tc30,sweep vev_meanrev; trades=108
2026-04-26T07:10:55Z,trader-r3-v1-vev-meanrev.py,0,91.00,runs/sweep,vmr-ema30-te1-sk0.5-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:10:55Z,trader-r3-v1-vev-meanrev.py,1,-1411.00,runs/sweep,vmr-ema30-te1-sk0.5-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:10:55Z,trader-r3-v1-vev-meanrev.py,2,2718.00,runs/sweep,vmr-ema30-te1-sk0.5-tc20,sweep vev_meanrev; trades=26
2026-04-26T07:10:58Z,trader-r3-v1-vev-meanrev.py,0,865.00,runs/sweep,vmr-ema30-te1-sk0.5-tc30,sweep vev_meanrev; trades=20
2026-04-26T07:10:58Z,trader-r3-v1-vev-meanrev.py,1,1823.50,runs/sweep,vmr-ema30-te1-sk0.5-tc30,sweep vev_meanrev; trades=15
2026-04-26T07:10:58Z,trader-r3-v1-vev-meanrev.py,2,3754.50,runs/sweep,vmr-ema30-te1-sk0.5-tc30,sweep vev_meanrev; trades=58
2026-04-26T07:11:01Z,trader-r3-v1-vev-meanrev.py,0,91.00,runs/sweep,vmr-ema30-te1-sk1.0-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:11:01Z,trader-r3-v1-vev-meanrev.py,1,1787.50,runs/sweep,vmr-ema30-te1-sk1.0-tc20,sweep vev_meanrev; trades=17
2026-04-26T07:11:01Z,trader-r3-v1-vev-meanrev.py,2,2726.00,runs/sweep,vmr-ema30-te1-sk1.0-tc20,sweep vev_meanrev; trades=26
2026-04-26T07:11:04Z,trader-r3-v1-vev-meanrev.py,0,865.00,runs/sweep,vmr-ema30-te1-sk1.0-tc30,sweep vev_meanrev; trades=20
2026-04-26T07:11:04Z,trader-r3-v1-vev-meanrev.py,1,1823.50,runs/sweep,vmr-ema30-te1-sk1.0-tc30,sweep vev_meanrev; trades=15
2026-04-26T07:11:04Z,trader-r3-v1-vev-meanrev.py,2,3758.50,runs/sweep,vmr-ema30-te1-sk1.0-tc30,sweep vev_meanrev; trades=58
2026-04-26T07:11:07Z,trader-r3-v1-vev-meanrev.py,0,91.00,runs/sweep,vmr-ema30-te1-sk1.5-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:11:07Z,trader-r3-v1-vev-meanrev.py,1,1793.50,runs/sweep,vmr-ema30-te1-sk1.5-tc20,sweep vev_meanrev; trades=17
2026-04-26T07:11:07Z,trader-r3-v1-vev-meanrev.py,2,2726.00,runs/sweep,vmr-ema30-te1-sk1.5-tc20,sweep vev_meanrev; trades=26
2026-04-26T07:11:10Z,trader-r3-v1-vev-meanrev.py,0,-614.00,runs/sweep,vmr-ema30-te1-sk1.5-tc30,sweep vev_meanrev; trades=38
2026-04-26T07:11:10Z,trader-r3-v1-vev-meanrev.py,1,1829.50,runs/sweep,vmr-ema30-te1-sk1.5-tc30,sweep vev_meanrev; trades=15
2026-04-26T07:11:10Z,trader-r3-v1-vev-meanrev.py,2,-2250.50,runs/sweep,vmr-ema30-te1-sk1.5-tc30,sweep vev_meanrev; trades=68
2026-04-26T07:11:13Z,trader-r3-v1-vev-meanrev.py,0,91.00,runs/sweep,vmr-ema30-te1-sk2.0-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:11:13Z,trader-r3-v1-vev-meanrev.py,1,1733.00,runs/sweep,vmr-ema30-te1-sk2.0-tc20,sweep vev_meanrev; trades=16
2026-04-26T07:11:13Z,trader-r3-v1-vev-meanrev.py,2,2726.00,runs/sweep,vmr-ema30-te1-sk2.0-tc20,sweep vev_meanrev; trades=26
2026-04-26T07:11:16Z,trader-r3-v1-vev-meanrev.py,0,-2872.00,runs/sweep,vmr-ema30-te1-sk2.0-tc30,sweep vev_meanrev; trades=97
2026-04-26T07:11:16Z,trader-r3-v1-vev-meanrev.py,1,1668.00,runs/sweep,vmr-ema30-te1-sk2.0-tc30,sweep vev_meanrev; trades=15
2026-04-26T07:11:16Z,trader-r3-v1-vev-meanrev.py,2,-2764.00,runs/sweep,vmr-ema30-te1-sk2.0-tc30,sweep vev_meanrev; trades=95
2026-04-26T07:11:20Z,trader-r3-v1-vev-meanrev.py,0,171.00,runs/sweep,vmr-ema30-te2-sk0.5-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:11:20Z,trader-r3-v1-vev-meanrev.py,1,2076.00,runs/sweep,vmr-ema30-te2-sk0.5-tc20,sweep vev_meanrev; trades=14
2026-04-26T07:11:20Z,trader-r3-v1-vev-meanrev.py,2,-2095.00,runs/sweep,vmr-ema30-te2-sk0.5-tc20,sweep vev_meanrev; trades=8
2026-04-26T07:11:23Z,trader-r3-v1-vev-meanrev.py,0,151.00,runs/sweep,vmr-ema30-te2-sk0.5-tc30,sweep vev_meanrev; trades=4
2026-04-26T07:11:23Z,trader-r3-v1-vev-meanrev.py,1,2076.00,runs/sweep,vmr-ema30-te2-sk0.5-tc30,sweep vev_meanrev; trades=14
2026-04-26T07:11:23Z,trader-r3-v1-vev-meanrev.py,2,-2074.00,runs/sweep,vmr-ema30-te2-sk0.5-tc30,sweep vev_meanrev; trades=8
2026-04-26T07:11:26Z,trader-r3-v1-vev-meanrev.py,0,171.00,runs/sweep,vmr-ema30-te2-sk1.0-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:11:26Z,trader-r3-v1-vev-meanrev.py,1,2082.00,runs/sweep,vmr-ema30-te2-sk1.0-tc20,sweep vev_meanrev; trades=14
2026-04-26T07:11:26Z,trader-r3-v1-vev-meanrev.py,2,-2522.50,runs/sweep,vmr-ema30-te2-sk1.0-tc20,sweep vev_meanrev; trades=9
2026-04-26T07:11:29Z,trader-r3-v1-vev-meanrev.py,0,151.00,runs/sweep,vmr-ema30-te2-sk1.0-tc30,sweep vev_meanrev; trades=4
2026-04-26T07:11:29Z,trader-r3-v1-vev-meanrev.py,1,2082.00,runs/sweep,vmr-ema30-te2-sk1.0-tc30,sweep vev_meanrev; trades=14
2026-04-26T07:11:29Z,trader-r3-v1-vev-meanrev.py,2,2656.50,runs/sweep,vmr-ema30-te2-sk1.0-tc30,sweep vev_meanrev; trades=17
2026-04-26T07:11:32Z,trader-r3-v1-vev-meanrev.py,0,171.00,runs/sweep,vmr-ema30-te2-sk1.5-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:11:32Z,trader-r3-v1-vev-meanrev.py,1,2047.50,runs/sweep,vmr-ema30-te2-sk1.5-tc20,sweep vev_meanrev; trades=14
2026-04-26T07:11:32Z,trader-r3-v1-vev-meanrev.py,2,-2522.50,runs/sweep,vmr-ema30-te2-sk1.5-tc20,sweep vev_meanrev; trades=9
2026-04-26T07:11:35Z,trader-r3-v1-vev-meanrev.py,0,-2016.00,runs/sweep,vmr-ema30-te2-sk1.5-tc30,sweep vev_meanrev; trades=85
2026-04-26T07:11:35Z,trader-r3-v1-vev-meanrev.py,1,2084.50,runs/sweep,vmr-ema30-te2-sk1.5-tc30,sweep vev_meanrev; trades=15
2026-04-26T07:11:35Z,trader-r3-v1-vev-meanrev.py,2,3697.00,runs/sweep,vmr-ema30-te2-sk1.5-tc30,sweep vev_meanrev; trades=36
2026-04-26T07:11:39Z,trader-r3-v1-vev-meanrev.py,0,171.00,runs/sweep,vmr-ema30-te2-sk2.0-tc20,sweep vev_meanrev; trades=5
